firebot-1  | [brain_node-3] [INFO] [1777494217.184274014] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=1.4/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494218.184904495] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=2.4/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494219.286683142] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=3.5/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494220.388696734] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=4.6/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494221.484217122] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=5.7/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494222.489274548] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=6.7/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494223.485683991] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=7.7/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494224.585074176] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=8.8/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494225.686026675] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=9.9/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494226.784336526] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=11.0/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494227.785806526] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=12.0/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494228.785762173] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=13.0/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494229.886076451] [brain_node]: simple: DWELL_BEFORE_WARN center_hold=14.1/15.0s armed=yes
firebot-1  | [brain_node-3] [INFO] [1777494230.786265857] [brain_node]: center hold 15.0s >= 15.0s -> WARNING
firebot-1  | [brain_node-3] [INFO] [1777494230.789251765] [brain_node]: state: SEARCHING -> WARNING
firebot-1  | [brain_node-3] [WARN] [1777494230.890162617] [brain_node]: warning countdown: 10s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494231.097184950] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494231.296044450] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494231.500446931] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494231.696965024] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494231.884486709] [brain_node]: warning countdown: 9s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494231.896284838] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494232.096116153] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494232.296236134] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494232.494911486] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494232.698845208] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494232.886433412] [brain_node]: warning countdown: 8s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494232.895965449] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494233.095047171] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494233.296087097] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494233.496174097] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494233.695183356] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494233.884665189] [brain_node]: warning countdown: 7s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494233.896664041] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494234.096408559] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494234.294909448] [arduino_bridge_node]: mega: warn=1
